release_id,target_date,sprint_count,avg_velocity,test_coverage,defect_density,spillover_ratio,code_churn,open_critical_bugs,regression_pass_rate,sprint_goal_met,velocity_variance,effort_ratio,days_since_incident,readiness_label,readiness
v1.7.2,2026-12-06,5,38,91.9,0.55,12.4,9.4,0,87.5,3,6.5,1.28,75,At Risk,69
v1.7.3,2026-06-28,4,30,92.3,7.56,18.6,34.3,0,78.0,2,10.0,1.33,20,At Risk,68
v1.8.0,2027-04-14,4,30,57.3,1.87,15.4,44.3,5,65.4,1,7.2,1.44,47,Not Ready,37
v1.8.1,2027-01-26,5,30,93.9,1.1,13.3,34.4,8,74.9,1,14.0,1.46,13,Not Ready,34
v1.8.2,2027-04-15,4,37,76.9,7.88,5.6,32.5,0,62.8,2,8.4,1.18,82,Not Ready,31
v1.8.3,2027-03-25,4,35,72.7,7.62,12.0,25.4,2,91.1,2,14.4,1.21,13,At Risk,70
v1.9.0,2028-05-28,4,32,56.9,4.62,10.0,31.6,5,61.8,2,18.3,1.21,89,Not Ready,28
v1.9.1,2028-01-25,4,36,60.5,4.96,6.6,23.6,2,92.2,1,16.5,0.93,66,Not Ready,27
v1.9.2,2027-11-26,5,32,88.6,3.66,8.6,21.9,3,89.6,2,16.3,0.86,6,At Risk,60
v1.9.3,2028-05-06,5,32,76.4,6.18,6.2,29.4,5,70.2,3,13.2,1.06,40,Not Ready,35
v2.0.0,2028-01-22,3,40,85.8,2.32,24.2,17.7,6,67.6,1,13.5,0.85,29,Not Ready,49
v2.0.1,2028-09-25,3,33,59.4,7.62,12.8,9.0,10,75.1,3,8.0,1.33,9,Not Ready,46
v2.0.2,2028-04-25,5,31,94.5,4.41,23.0,28.6,5,96.0,3,12.5,1.37,12,At Risk,58
v2.0.3,2029-01-07,4,34,88.7,1.81,9.3,8.0,1,91.6,1,8.6,1.25,8,Ready,93
v2.1.0,2029-02-28,3,33,73.1,2.14,10.7,16.8,5,79.3,2,7.8,1.39,90,At Risk,64
v2.1.1,2029-03-08,3,39,80.7,3.53,14.0,21.6,5,92.2,2,6.1,1.18,84,At Risk,58
v2.1.2,2028-12-14,4,38,71.5,6.65,5.7,34.0,8,94.5,2,7.2,0.87,9,Not Ready,45
v2.1.3,2029-11-03,3,37,71.6,5.18,11.5,11.4,9,85.8,1,17.6,0.95,14,Not Ready,37
v2.2.0,2028-09-13,5,38,71.4,5.2,8.8,21.0,7,69.7,1,6.1,1.47,72,Not Ready,38
v2.2.1,2028-10-27,3,37,75.1,6.85,17.8,27.9,1,67.9,3,11.0,1.08,53,Not Ready,28
v2.2.2,2029-01-28,4,34,79.4,2.47,13.0,44.6,1,80.0,3,8.8,1.11,24,At Risk,70
v2.2.3,2029-01-23,4,32,71.8,2.01,10.1,28.3,7,91.4,2,12.0,1.18,13,Not Ready,27
v2.3.0,2029-01-16,4,34,79.7,1.82,24.9,27.2,10,95.8,3,12.0,1.18,22,Not Ready,46
v2.3.1,2029-09-24,3,35,88.9,1.04,23.4,30.8,8,63.1,1,11.7,1.23,82,Not Ready,29
v2.3.2,2029-02-18,4,32,61.3,3.93,12.2,38.6,4,71.6,2,5.5,1.31,86,Not Ready,49
v2.3.3,2030-07-31,3,36,67.6,3.57,12.7,36.3,3,78.3,1,19.8,1.48,78,Not Ready,27
v2.4.0,2031-03-04,5,39,91.4,2.1,7.6,10.4,8,77.6,3,6.4,1.41,86,Not Ready,44
v2.4.1,2031-08-17,3,30,87.2,2.72,21.0,20.2,2,85.9,3,18.8,0.91,25,At Risk,55
v2.4.2,2030-12-31,4,31,82.9,6.03,9.8,16.3,0,81.2,2,14.7,1.06,35,At Risk,64
v2.4.3,2030-03-09,5,35,75.5,4.54,6.4,43.7,1,81.9,3,17.7,1.31,44,At Risk,62
v2.5.0,2030-04-23,3,31,87.4,5.47,13.8,15.9,7,95.8,2,12.1,0.96,50,Not Ready,45
v2.5.1,2029-12-09,3,40,85.9,3.13,10.9,16.8,5,95.2,2,19.1,0.85,29,At Risk,57
v2.5.2,2030-03-22,3,39,85.6,7.04,13.9,21.5,8,78.8,2,10.6,1.05,50,Not Ready,38
v2.5.3,2031-03-10,5,38,77.5,5.78,23.2,43.8,1,92.6,3,19.8,1.16,27,At Risk,62
v2.6.0,2032-05-09,5,33,73.5,4.73,23.0,23.6,0,71.6,3,13.2,1.27,48,Not Ready,40
v2.6.1,2031-12-23,4,39,71.6,4.38,13.6,27.1,2,73.8,1,7.3,1.19,55,Not Ready,41
v2.6.2,2031-10-05,5,31,66.0,1.85,8.3,31.1,9,93.8,3,19.9,0.85,85,Not Ready,28
v2.6.3,2032-01-28,4,32,60.6,6.7,10.2,28.1,0,88.2,1,19.3,1.1,29,Not Ready,47
v2.7.0,2031-06-24,4,33,93.1,2.25,11.7,42.7,4,82.6,3,9.3,1.14,49,At Risk,73
v2.7.1,2030-11-10,5,38,86.0,7.35,15.3,27.6,3,93.1,1,10.9,1.1,62,At Risk,65
v2.7.2,2033-03-29,3,30,69.6,3.51,20.6,8.3,1,76.1,1,9.2,1.36,26,Not Ready,38
v2.7.3,2032-10-24,4,30,90.6,3.83,17.7,29.1,4,63.6,1,14.1,1.25,86,Not Ready,40
v2.8.0,2033-09-24,3,40,92.9,6.83,7.6,12.2,10,60.8,2,11.5,1.0,31,Not Ready,39
v2.8.1,2031-04-27,3,36,74.5,4.72,22.8,17.4,6,91.9,3,18.1,0.87,77,At Risk,60
v2.8.2,2031-06-08,4,38,82.6,6.61,20.4,11.0,6,90.3,1,6.1,0.99,67,At Risk,65
v2.8.3,2031-10-02,5,39,91.2,5.98,8.6,9.8,6,92.2,3,16.9,0.99,90,At Risk,70
v2.9.0,2033-12-03,3,40,86.7,7.78,24.4,44.1,5,85.7,3,9.5,1.3,55,At Risk,72
v2.9.1,2032-10-26,4,35,65.3,4.25,8.0,38.6,7,75.9,3,9.2,1.15,46,Not Ready,38
v2.9.2,2034-06-04,4,36,88.4,5.57,7.6,24.5,0,67.8,1,17.2,1.04,34,Not Ready,28
v2.9.3,2033-07-03,3,30,72.0,1.14,5.1,39.2,3,67.0,1,11.1,1.13,64,Not Ready,30
v3.0.0,2032-02-15,4,39,91.5,6.92,10.2,13.1,4,60.6,3,10.2,1.05,19,Not Ready,49
v3.0.1,2032-06-16,4,34,71.9,4.55,24.9,12.9,3,84.2,3,19.0,1.12,37,At Risk,71
v3.0.2,2033-06-18,4,35,82.8,5.95,24.9,43.0,5,72.3,2,9.9,0.85,14,Not Ready,26
v3.0.3,2034-06-28,5,34,94.7,7.03,6.4,33.5,10,71.4,2,10.7,0.87,40,Not Ready,41
v3.1.0,2033-01-14,4,33,74.9,3.71,8.6,43.9,5,68.8,3,6.2,1.03,28,Not Ready,48
v3.1.1,2034-10-08,5,32,73.8,2.03,6.2,21.6,8,74.1,3,6.0,1.27,85,Not Ready,32
v3.1.2,2033-04-12,4,40,58.7,6.92,13.2,18.3,4,72.1,2,13.9,1.35,61,Not Ready,49
v3.1.3,2033-11-14,4,39,76.3,2.08,9.0,19.6,7,65.0,1,5.3,0.91,73,Not Ready,39
v3.2.0,2033-04-13,4,30,86.1,2.87,11.0,16.4,8,65.8,3,5.0,1.44,23,Not Ready,25
v3.2.1,2035-02-01,5,38,58.1,4.48,11.8,36.7,1,79.1,3,16.9,1.09,41,Not Ready,31
v3.2.2,2035-09-17,4,36,58.2,4.39,10.4,14.8,8,74.3,1,19.3,0.96,25,Not Ready,40
v3.2.3,2033-11-18,5,33,74.6,4.45,5.5,34.5,9,69.8,1,13.4,0.97,18,Not Ready,45
v3.3.0,2036-03-30,4,36,75.1,7.07,15.4,25.9,7,73.1,3,5.6,1.09,60,Not Ready,31
v3.3.1,2035-05-20,4,33,85.9,6.01,23.4,20.3,8,62.2,1,13.8,1.47,57,Not Ready,39
v3.3.2,2033-12-27,4,32,93.9,5.88,16.4,14.8,7,61.1,1,14.6,0.96,75,Not Ready,44
v3.3.3,2036-12-08,3,31,71.2,3.49,16.6,35.1,4,70.7,1,17.2,0.88,9,Not Ready,39
v3.4.0,2035-07-11,5,40,91.0,1.35,23.5,32.9,5,82.0,1,10.1,1.28,55,At Risk,70
v3.4.1,2037-06-30,3,33,67.0,6.05,7.0,9.6,1,68.8,3,10.2,1.07,85,Not Ready,42
v3.4.2,2036-04-26,3,38,55.2,2.35,22.5,41.4,10,71.6,1,10.4,1.42,42,Not Ready,45
v3.4.3,2037-10-18,3,33,85.1,4.24,12.6,12.5,7,69.7,1,7.8,0.97,8,Not Ready,44
v3.5.0,2037-02-18,5,30,55.7,2.41,13.2,44.1,7,94.0,1,8.6,1.13,54,Not Ready,47
v3.5.1,2034-10-24,5,36,83.1,7.85,14.4,19.5,0,69.7,1,8.2,1.06,17,Not Ready,48
v3.5.2,2038-04-01,4,40,55.5,5.63,20.3,34.8,7,70.6,1,9.1,1.31,45,Not Ready,44
v3.5.3,2035-01-18,3,35,93.8,7.8,14.9,15.4,8,79.3,1,5.6,1.23,60,Not Ready,38
v3.6.0,2034-11-19,3,32,84.0,0.64,9.8,26.2,2,71.8,3,19.6,1.12,20,Not Ready,44
v3.6.1,2036-09-15,3,35,82.1,4.94,12.9,36.5,9,83.2,1,12.1,1.14,20,Not Ready,33
v3.6.2,2035-09-09,4,34,73.4,4.67,5.8,43.3,10,74.7,1,10.8,1.18,17,Not Ready,42
v3.6.3,2035-07-09,3,38,94.8,1.03,8.0,8.5,1,97.7,3,7.9,0.97,74,Ready,92
v3.7.0,2036-07-07,4,39,87.4,2.42,5.9,10.2,4,83.4,3,14.2,1.21,47,At Risk,59
v3.7.1,2036-08-22,5,37,70.7,2.64,15.5,44.9,0,96.0,2,13.9,1.48,36,At Risk,59
v3.7.2,2035-07-29,5,35,72.5,1.02,11.8,21.0,9,62.5,3,8.1,1.19,8,Not Ready,31
v3.7.3,2037-10-18,4,39,84.7,1.28,6.0,24.9,6,60.4,3,9.4,1.17,39,Not Ready,28
v3.8.0,2037-08-17,3,36,94.3,5.8,16.9,12.6,10,78.6,3,13.8,1.09,30,Not Ready,45
v3.8.1,2038-05-16,3,36,83.9,7.26,24.6,43.1,5,90.3,3,13.1,1.44,67,At Risk,74
v3.8.2,2036-12-17,3,39,90.0,7.87,8.4,8.6,1,91.6,2,12.4,1.49,56,At Risk,60
v3.8.3,2039-11-23,4,36,89.2,4.14,21.7,8.2,10,91.0,2,7.7,1.28,89,Not Ready,32
v3.9.0,2040-01-16,5,38,59.9,7.65,17.2,31.6,6,62.3,1,6.6,1.02,20,Not Ready,44
v3.9.1,2037-01-05,5,34,73.6,1.75,22.7,14.7,2,70.8,2,13.6,1.09,55,Not Ready,48
v3.9.2,2039-05-18,4,37,69.8,1.94,11.7,30.8,9,77.0,2,7.2,1.25,17,Not Ready,45
v3.9.3,2037-11-25,4,31,57.0,0.99,22.5,36.5,6,79.4,2,6.3,1.04,90,Not Ready,26
v4.0.0,2040-12-16,3,38,75.9,1.45,22.4,9.9,2,90.0,1,17.7,1.35,75,At Risk,70
